Country,Wheat_Export_2023,Wheat_Import_2023,Country_Mapped
Afghanistan,0.01,482890.19,Afghanistan
Albania,219.82,115481.39,Albania
Algeria,24.77,5836217.85,Algeria
Angola,0.10,846194.82,Angola
Antigua and Barbuda,,0.24,Antigua and Barb.
Argentina,2844595.54,55.75,Argentina
Armenia,31.79,338289.41,Armenia
Australia,29292037.83,42.81,Australia
Austria,677904.63,1175367.78,Austria
Azerbaijan,,1175337.80,Azerbaijan
Bahamas,0.20,2.39,The Bahamas
Bahrain,5.80,88175.50,Bahrain
Bangladesh,0.93,2969596.69,Bangladesh
Barbados,,14857.19,Barbados
Belarus,1567.06,130000.00,Belarus
Belgium,296962.82,3289072.13,Belgium
Belize,,25157.00,Belize
Benin,,107429.87,Benin
Bhutan,,1081.00,Bhutan
Bolivia (Plurinational State of),,71429.32,Bolivia
Bosnia and Herzegovina,25754.34,224328.34,Bosnia and Herzegovina
Botswana,648.80,126116.26,Botswana
Brazil,2354625.26,4180827.40,Brazil
Brunei Darussalam,,8.51,Brunei
Bulgaria,6386633.99,65484.20,Bulgaria
Burkina Faso,5472.00,270329.21,Burkina Faso
Burundi,0.05,7101.00,Burundi
Cabo Verde,,19828.87,Cape Verde
Cambodia,,18099.00,Cambodia
Cameroon,0.02,859392.62,Cameroon
Canada,25571108.57,63827.22,Canada
Chad,,30000.00,Chad
Chile,2.23,1022914.00,Chile
China,16669.15,13149769.15,China
"China, Hong Kong SAR",0.47,5854.37,Hong Kong
"China, Macao SAR",,12.76,Macau
"China, Taiwan Province of",160.00,1266160.00,Taiwan
"China, mainland",16508.68,11877742.03,China
Colombia,417.80,1779176.88,Colombia
Congo,0.67,217279.49,Republic of the Congo
Cook Islands,,0.01,Cook Is.
Costa Rica,,266373.43,Costa Rica
Croatia,499955.15,151228.14,Croatia
Cuba,,470000.00,Cuba
Cyprus,1.75,50289.07,Cyprus
Czechia,2627225.24,125679.06,Czechia
Côte d'Ivoire,,705694.71,Ivory Coast
Democratic People's Republic of Korea,,2669.68,North Korea
Democratic Republic of the Congo,0.01,328532.98,Democratic Republic of the Congo
Denmark,472277.70,146234.35,Denmark
Djibouti,4890.61,41253.15,Djibouti
Dominican Republic,284.39,620348.94,Dominican Republic
Ecuador,0.24,1300222.21,Ecuador
Egypt,2643.60,8162036.72,Egypt
El Salvador,380.00,319016.33,El Salvador
Equatorial Guinea,,15.75,Equatorial Guinea
Eritrea,499.58,40000.00,Eritrea
Estonia,558465.22,4174.57,Estonia
Eswatini,,46817.71,Swaziland
Ethiopia,,566791.23,Ethiopia
Faroe Islands,,14280.43,Faeroe Is.
Fiji,4.05,148825.00,Fiji
Finland,56518.13,8506.41,Finland
France,13476663.17,172721.16,France
French Polynesia,,1601.81,Fr. Polynesia
Gabon,,124000.51,Gabon
Gambia,153.08,37051.00,Gambia
Georgia,21.03,222061.20,Georgia
Germany,6784192.03,5163201.64,Germany
Ghana,8.19,338575.71,Ghana
Greece,527008.42,1108267.65,Greece
Grenada,,34257.00,Grenada
Guatemala,478.43,650787.32,Guatemala
Guinea,,458120.46,Guinea
Guyana,,38741.80,Guyana
Haiti,,302220.93,Haiti
Honduras,,294685.00,Honduras
Hungary,2829778.41,221367.55,Hungary
Iceland,0.01,37550.23,Iceland
India,157566.49,85007.60,India
Indonesia,0.21,10869908.68,Indonesia
Iran (Islamic Republic of),12.08,128864.53,Iran
Iraq,498.00,1612485.37,Iraq
Ireland,30878.80,350812.51,Ireland
Israel,446.38,1385519.37,Israel
Italy,162086.37,8674613.22,Italy
Jamaica,,178910.85,Jamaica
Japan,0.00,5026292.19,Japan
Jordan,,513478.05,Jordan
Kazakhstan,7202625.71,2615560.90,Kazakhstan
Kenya,19348.67,2036933.44,Kenya
Kuwait,0.00,474407.58,Kuwait
Kyrgyzstan,,370809.20,Kyrgyzstan
Latvia,2362606.10,816915.16,Latvia
Lebanon,3218.27,460008.58,Lebanon
Lesotho,,50668.62,Lesotho
Liberia,,14.83,Liberia
Libya,0.03,163747.49,Libya
Lithuania,3704409.45,255915.84,Lithuania
Luxembourg,25619.69,144289.23,Luxembourg
Madagascar,,160734.83,Madagascar
Malawi,,114461.57,Malawi
Malaysia,822.05,1611958.79,Malaysia
Maldives,,3.52,Maldives
Mali,0.10,294868.42,Mali
Malta,10500.00,23458.33,Malta
Mauritania,,676113.22,Mauritania
Mauritius,10000.07,161690.42,Mauritius
Mexico,126158.51,4022527.23,Mexico
Mongolia,,47699.00,Mongolia
Montenegro,,10359.37,Montenegro
Morocco,0.14,5871974.20,Morocco
Mozambique,12002.15,761519.95,Mozambique
Myanmar,,371248.64,Myanmar
Namibia,0.84,137232.42,Namibia
Nauru,,996.00,Nauru
Nepal,0.19,157434.33,Nepal
Netherlands (Kingdom of the),187323.78,3845518.35,Netherlands
New Caledonia,,28261.13,New Caledonia
New Zealand,1277.63,688618.78,New Zealand
Nicaragua,9.76,146854.11,Nicaragua
Niger,,0.20,Niger
Nigeria,20.52,4725100.42,Nigeria
North Macedonia,18875.22,77124.57,North Macedonia
Norway,2.61,281702.03,Norway
Oman,63333.72,556991.61,Oman
Pakistan,,2605291.00,Pakistan
Palestine,11.50,,Palestine
Panama,,129697.72,Panama
Papua New Guinea,2700.00,274784.98,Papua New Guinea
Paraguay,247037.50,415.29,Paraguay
Peru,97.34,1867929.01,Peru
Philippines,,5544540.00,Philippines
Poland,6972401.02,844015.26,Poland
Portugal,41990.90,1512274.51,Portugal
Qatar,,23159.39,Qatar
Republic of Korea,0.02,4414959.89,South Korea
Republic of Moldova,1060095.42,1764.32,Moldova
Romania,8171216.09,821265.73,Romania
Russian Federation,31599103.87,42284.62,Russia
Rwanda,,185000.00,Rwanda
Saint Lucia,0.00,5973.00,St. Lucia
Saint Vincent and the Grenadines,,29475.00,St. Vin. and Gren.
Samoa,,0.08,Samoa
Saudi Arabia,205.47,3435488.72,Saudi Arabia
Senegal,9100.00,897798.00,Senegal
Serbia,674900.64,1626.33,Serbia
Seychelles,26.03,147.52,Seychelles
Singapore,16.47,201560.78,Singapore
Slovakia,1602518.08,48958.17,Slovakia
Slovenia,377969.24,560267.84,Slovenia
Solomon Islands,,15471.62,Solomon Islands
Somalia,,2215.41,Somalia
South Africa,453841.19,2031855.78,South Africa
Spain,103172.45,9636177.54,Spain
Sri Lanka,9500.39,788608.49,Sri Lanka
Sudan,,331998.54,Sudan
Suriname,,22000.00,Suriname
Sweden,325042.04,94351.91,Sweden
Switzerland,530.53,416923.29,Switzerland
Syrian Arab Republic,49142.21,71297.77,Syria
Tajikistan,,1023596.00,Tajikistan
Thailand,16.34,3713929.42,Thailand
Togo,,187759.83,Togo
Trinidad and Tobago,,111114.60,Trinidad and Tobago
Tunisia,0.47,1342895.36,Tunisia
Turkmenistan,,540191.39,Turkmenistan
Tuvalu,,4.05,Tuvalu
Türkiye,1814622.68,11904621.50,Turkey
Uganda,133.00,780732.00,Uganda
Ukraine,16151704.85,34775.99,Ukraine
United Arab Emirates,74349.01,1442798.03,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,1154959.14,1708290.83,United Kingdom
United Republic of Tanzania,1589.00,1367937.04,United Republic of Tanzania
United States of America,17942310.41,2471089.42,United States of America
Uruguay,821643.15,2451.64,Uruguay
Uzbekistan,34852.46,3316499.22,Uzbekistan
Vanuatu,,0.01,Vanuatu
Venezuela (Bolivarian Republic of),,707980.95,Venezuela
Viet Nam,16.48,4248707.55,Vietnam
Yemen,91.44,1906947.82,Yemen
Zambia,995.00,60381.91,Zambia
Zimbabwe,124.30,258404.63,Zimbabwe
